iter	RMSE
0	0.4712989384
1	0.460580468
2	0.451611328
3	0.4441540329
4	0.4380721099
5	0.4329375031
6	0.4286588094
7	0.4251961425
8	0.4223327887
9	0.4200121771
10	0.4180190553
11	0.41655675
12	0.4151647019
13	0.414040023
14	0.4130948255
15	0.4123356593
16	0.4115291337
17	0.4109043374
18	0.4104236932
19	0.4100134969
20	0.4095702761
21	0.4092108801
22	0.4087853675
23	0.4084210481
24	0.4080607147
25	0.4076982615
26	0.4074709049
27	0.4072349774
28	0.406958713
29	0.4067758659
30	0.4064479768
31	0.4061720096
32	0.4059683157
33	0.405703338
34	0.4053512777
35	0.4051102631
36	0.4049402682
37	0.4047275954
38	0.4045463635
39	0.4043176972
40	0.4041569527
41	0.4039462401
42	0.4037661589
43	0.403667372
44	0.4035317869
45	0.4032489131
46	0.4030142622
47	0.402799364
48	0.4026948024
49	0.4025458852
50	0.4023653038
51	0.4022275636
52	0.4021224172
53	0.4020263044
54	0.4019102835
55	0.4017582377
56	0.4016537899
57	0.4015640907
58	0.4013584433
59	0.4012216721
60	0.401111917
61	0.4009351933
62	0.4007650143
63	0.4006777882
64	0.4005502363
65	0.4004135673
66	0.4002705917
67	0.4001015709
68	0.400035956
69	0.3998851534
70	0.3997595783
71	0.3996126631
72	0.3995389105
73	0.3994401489
74	0.3993792013
75	0.3992907465
76	0.3992546153
77	0.3992039744
78	0.3990672959
79	0.3989583593
80	0.3989047606
81	0.3988034341
82	0.3987435984
83	0.3986123642
84	0.3985361381
85	0.3984648379
86	0.3983989331
87	0.3982609043
88	0.3981747823
89	0.3980955939
90	0.3980429918
91	0.3979320461
92	0.3977863569
93	0.3977454815
94	0.3976934176
95	0.3976130288
96	0.3975507895
97	0.3974390849
98	0.3973745213
99	0.397343125
100	0.3972282304
101	0.397089167
102	0.3970299219
103	0.3969974526
104	0.3969832203
105	0.3968755887
106	0.3968260934
107	0.3967555916
108	0.3966412056
109	0.3965440434
110	0.3964845942
111	0.3964434234
112	0.3963362153
113	0.396259631
114	0.3961537226
115	0.3960800805
116	0.3960315248
117	0.3959453817
118	0.3959122937
119	0.3958272264
120	0.3957606802
121	0.3956522141
122	0.3955811582
123	0.3954742054
124	0.395425152
125	0.3953973665
126	0.3953196531
127	0.3952343409
128	0.3951497607
129	0.3950689522
130	0.3950221462
131	0.3949665009
132	0.3948903245
133	0.3948344182
134	0.3947921226
135	0.394693805
136	0.3946166425
137	0.3945152178
138	0.3944602744
139	0.3943752571
140	0.394285466
141	0.3942202925
